Id	FireDelayTime 	bulletSpeed	KeepTime	PlayerHP	bulletAttack	itemAppearDelay	itemKeepTime	TurretCount
1	6.5	1	30	300	60	8	4	8
2	6.0	1	35	300	70	8	4	8
3	5.5	1	40	300	70	8	4	8
4	5.0	1	45	300	75	9	4	8
5	4.5	1	50	300	80	9	4	8
6	4.0	1.1	50	300	85	9	4	8
7	4.4	1.1	55	300	85	10	4	8
8	4.4	1.2	55	300	85	10	4	8
9	4.3	1.2	55	300	90	10	4	8
10	4.3	1.3	60	300	95	10	4	8
11	4.2	1.3	60	300	95	11	3	8
12	4.2	1.3	60	300	100	11	3	8
13	4.1	1.3	60	300	105	11	3	8
14	4.1	1.3	60	300	110	11	3	8
15	3	1.4	60	300	120	11	3	8
